itemtabelle_20220214(18.54)_GR01+GR04;;;;;;;;;;
item;target;kontext;frage;A1;A2;A3;A4;A5;A6;comments
11;Je weniger man isst, desto länger ist man.;Mike ist ein leidenschaftlicher Koch in einem Restaurant. Trotzdem will er von den Speisen, die er zubereitet, nur wenig selbst essen. Als Suse ihn fragt, warum das so ist, antwortet er: Na du weiszt, je weniger man isst, desto länger ist man. Suse sagt: Okay, das verstehe ich. Ich dachte schon, dir schmecken deine Gerichte nicht.;Warum weiß Suse jetzt, dass Mike aus gesundheitlichen Gründen weniger essen möchte?;Weil Mike mit seiner Aussage zu verstehen gibt, älter werden zu wollen.;Weil Mike seine Gerichte nicht für zu gefährlich hält.;Weil Mike Angst hat, durch zu viel Essen zu groß für die enge Küche zu werden?;Weil Mike einmal gesagt hat, dass er weniger essen möchte und das schon eine Weile her ist.;Weil den Gästen die Eingangstür zum Restaurant zu klein ist.;Weil er mit der S-Bahn direkt von zu Hause zum Restaurant fahren kann.;
12;Eine Schwalbe macht noch keinen Sommer.;Birgit und Karl sitzen in ihrer Laube. Sie haben gerade den Salat im Beet ausgepflanzt. Karl meint: Und…, wie findest du's? Können wir bald ernten, oder? Birgit überlegt kurz und sagt: Na…, eine Schwalbe macht noch keinen Sommer. Karl antwortet: Naja, der kommt auch noch.;Warum sagt Birgit das mit der Schwalbe und dem Sommer?;Weil sie denkt, dass bis man ernten kann, noch eine Menge zu tun sein wird.;Weil sie denkt, dass sie sich jetzt erstmal ausruhen können.;Weil sie denkt, dass die Vögel in dieser Jahreszeit alles wegfressen werden.;Weil sie denkt, dass sie Vögel im letzten Winter kaum etwas zu fressen hatten.;Weil sie denkt, der Nachbar hat immer die grüneren Tomaten.;Weil sie denkt, dass der Badesee mitten im Wald liegt.;
13;Wie gewonnen, so zerronnen.;***A*** ist Schauspielerin und dreht gerade einen neuen Kinofilm. Sie erfährt, dass sie morgen nicht am Set gebraucht wird und einen freien Tag hat. ***A*** erhält am Abend einen Anruf von ***B***: Es gab Änderungen in der Tagesdisposition, sodass wir deine Szene vorziehen. Deine Calltime für morgen ist 06:30 Uhr. ***A*** antwortet: Wie gewonnen so zerronnen. ***B*** entgegnet ihr: Da hast du dich wohl zu früh gefreut. Du weißt doch, wie es in diesem Business läuft.;Warum sagt ***A*** Wie gewonnen so zerronnen?;Weil ***A*** glaubte frei zu haben und nun doch arbeiten gehen muss.;Weil ***A*** frei hat und nicht arbeiten gehen muss.;Weil ***A*** denkt, dass ihr Sieg dahinschmilzt.;Weil ***A*** ihren Lottoschein in der Waschmaschine gewaschen hat.;Weil ***A*** Eis essen gehen möchte.;Weil ***A*** lieber Drachen fliegen lassen möchte.;
14;Es ist nicht alles Gold, was glänzt;***A*** berichtet ***B*** von seinem erfolglosen Date (Verabredung) gestern Abend. Er hatte gehofft endlich seine Traumfrau gefunden zu haben. ***A*** sagt zu ***B***: Wie kann man nur so wahnsinnig gut aussehen und doch so langweilig sein?! ***B*** antwortet ***A*** darauf: Es ist eben nicht alles Gold, was glänzt. ***A*** meint daraufhin: So könnte man es auch sagen.;Warum sagt ***B***, es ist eben nicht alles Gold, was glänzt?;Weil ***B*** meint, dass Attraktivität oft blenden (täuschen) kann.;Weil ***B*** findet, dass das äußere Erscheinungsbild den wahren Wert zeigt..;Weil das Bilnken (Schimmern) allein kein Charakteristkum (Alleinstellungsmerkmal) des Edelmetalls ist.;Weil B beobachtet hat, dass es Sachen gibt, die wie wertvolle Metalle aussehen, aber überhaupt nicht wertvoll sind.;Weil A schon länger glücklich verheiratet ist.;Weil ***B*** Lust auf ein Bad hat.;
15;Der Klügere gibt nach.;***A*** und ***B*** leben in einer Partnerschaft und diskutieren die Organisation der bevorstehenden Weihnachtsfeiertage. Beide haben ihren Eltern versprochen Heiligabend mit der Familien zu verbringen. ***A*** argumentiert: Wir waren letztes Jahr schon zu Besuch bei deinen Eltern. ***B*** entgegnet ihr daraufhin: Der Klügere muss wohl nachgeben. ***A*** sagt: Manchmal ist das wohl so.;Warum sagt ***B***, der Klügere muss wohl nachgeben?;Weil ***B*** den Disput mit ***A*** beenden möchte.;Weil ***B*** weiter mit ***A*** streiten möchte.;Weil ***B*** intelligenter ist als ***A***. (Weil ***B*** einen höheren IQ hat als ***A***);Weil ***A*** ein dummer Mensch ist.;Weil ***B*** mit ***A*** zu Abend essen möchte.;Weil es heute noch regnen wird.;
16;Spare dein Brot, so hast du in der Not.;Wie jeden Donnerstag ist ***A*** mit ***B*** zum Kaffeetrinken verabredet. ***A*** erzählt, dass sie auf dem Weg ihr Traumkleid in einem Schaufenster gesehen hat, sie sich das Kleid aber eigentlich nicht leisten kann. ***A*** fragt ***B***: Soll ich das Kleid kaufen, was meinst du? ***B*** antwortet: Spare dein Brot, so hast du in der Not. ***A*** sagt: Ja, vermutlich hast du recht.;Warum sagt ***B*** Spare dein Brot, so hast du in der Not?;Weil ***B*** möchte, dass ***A*** ihr Geld für schlechte Zeiten bewahrt. (weil ***B*** nicht möchte, dass ***A*** ihr Geld unnötig ausgibt);Weil ***B*** möchte, dass ***A*** ihr Geld jetzt ausgibt.;Weil ***B*** möchte, dass ***A*** mit ihren Lebensmitteln haushälterisch umgeht.;Weil Backwaren in schlimmen Situationen helfen können.;Weil ***B*** mit ***A*** gemeinsam zum Konzert gehen möchte.;Weil der Blumenladen in eine andere Straße umgezogen ist.;
17;Ungeduld hat häufig Schuld;Karin steht mit ihrer besten Freundin Lisa in einer langen Schlange an der Supermarktkasse. Sie möchte nicht lange warten und wechselt in eine kürzere Schlange. Nach einer Weile sagt Karin zu Lisa: Ach Mist, jetzt wären wir in der anderen Schlange doch schneller gewesen! Lisa antwortet: Tja, Ungeduld hat eben häufig Schuld. Karin erwidert: Du hast Recht.;Warum sagt Lisa: Ungeduld hat häufig Schuld?;Weil Lisa denkt, dass sie sich voreilig in den Reihen umgestellt haben und deswegen nun mehr Zeit brauchen.;Weil Lisa denkt, dass es sich gelohnt hat, sich in die andere Reihe zu stellen.   ;Weil Lisa denkt, dass Hektik böse ist. ;Weil Lisa denkt, dass Karin jetzt bestraft wird.   ;Weil Lisa denkt, dass Karin von einer Kobra gebissen wurde.   ;Weil Lisa denkt, dass sie Schokoeis einkaufen sollten.   ;clanging   
18;Güter brauchen Hüter;Susi berichtet ihrer Freundin Maria, dass ihr Fahrrad gestohlen wurde. Sie hatte es tagsüber vor ihrer Haustür abgestellt und vergessen abzuschließen. Susi regt sich darüber auf: Da habe ich einmal vergessen, mein Fahrrad abzuschließen oder darauf aufzupassen und schon ist es weg! Maria antwortet: Tja, Güter brauchen eben Hüter! Susi:Das stimmt!;Warum sagt Maria: Güter brauchen eben Hüter?;Weil Maria glaubt, dass Susi besser auf ihre Wertsachen achten sollte.;Weil Maria glaubt, dass Susi ihr teures Eigentum nicht schützen muss.;Weil Maria glaubt, dass Gegenstände einen Aufpasser benötigen.   ;Weil Maria glaubt, dass wertvolle Sachen nicht alleine sein dürfen.   ;Weil Maria glaubt, dass Susi ihr Zweirad blau lackieren soll.   ;Weil Maria glaubt, dass es besser ist, Auto zu fahren.   ;clanging
19;Gut gemeint wird oft beweint;Richard berichtet seinem Freund Luis, dass er seinem kranken Nachbarn Klaus helfen wollte und ihm eine Tomaten-Lasagne gekocht hatte. Doch Klaus hat eine Tomatenallergie, was Richard vorher nicht wusste. Richard sagt zu Luis: Dabei wollte ich ihm doch nur helfen und jetzt wirke ich total unhöflich. Luis antwortet: Tja, gut gemeint, wird eben oft beweint! Richard antwortet: Ja, das stimmt!;Warum sagt Luis: Gut gemeint wird eben oft beweint?;Weil Luis glaubt, dass das Essen für Klaus eine liebe Idee war, die aber negative Auswirkungen hatte. ;Weil Luis glaubt, dass das Nudelgericht eine sehr hilfreiche Geste war.   ;Weil Luis glaubt, dass Klaus jetzt sehr traurig ist.   ;Weil Luis glaubt, dass Richard ein gemeiner Mensch ist.   ;Weil Luis glaubt, dass man Gemüse nicht im Kühlschrank aufbewahren kann.   ;Weil Luis glaubt, dass Italien ein schönes Urlaubsland ist.;
20;Wer den Karren in den Dreck geschoben hat, soll den Karren auch herausziehen.;Hans erzählt seinem Freund Moritz, dass er einen Fehler gemacht hat. Er hat ein Paar Kopfhörer aus einem Elektrogeschäft gestohlen. Nun bittet Hans Moritz: Kannst Du bitte die Kopfhörer für mich zurückbringen? Ich traue mich nicht. Moritz antwortet: Wer den Karren in den Dreck geschoben hat, soll den Karren auch wieder herausziehen. Hans erwidert: Ja okay, Du hast Recht.;Warum sagt Moritz: Wer den Karren in den Dreck geschoben hat, soll den Karren auch herausziehen?;Weil Moritz denkt, dass Hans selbst die Verantwortung für seine Tat übernehmen sollte.;Weil Moritz denkt, dass er an Stelle von Hans den geklauten  Artikel zurückbringen sollte.   ;Weil Moritz denkt, dass Hans das Auto wieder aus dem Matsch fahren muss.;Weil Moritz denkt, dass Fahrzeuge schnell schmutzig werden.     ;Weil Moritz denkt, dass es im Fachhandel eine bessere Auswahl gibt.;Weil Moritz denkt, dass Hans sich einen Fernseher kaufen sollte.   ;clanging
21;Der Glaube versetzt Berge;Für ein anstehendes Wettrennen hat Laura nicht genug trainiert. Ihre Freundin Maja sagt ihr aber immer wieder, dass sie die Beste ist, sodass Laura fest entschlossen ist und das Wettrennen gewinnt. Laura sagt danach zu Maja: Trotz des wenigen Trainings habe ich gewonnen. Maja sagt darauf: Der Glaube versetzt Berge. Laura antwortet: Da stimme ich dir zu.;Warum sagt Maja: der Glaube versetzt Berge?;Weil Maja meint, dass Laura gesiegt hat, weil Laura überzeugt von ihren Leistungen ist.;Weil Maja meint, dass Laura auch ohne Selbstvertrauen gewonnen hätte.;Weil Maja meint, dass Laura mit ihren Gedanken Felsmassive verschieben kann.;Weil Maja meint, dass sich Felsmassive in der Vorstellung bewegen lassen.;Weil Maja meint, dass Wettrennen öffentlich organisiert sind.;Weil Maja meint, dass Laufschuhe bequem sind.;
22;Wo Rauch ist, ist auch Feuer;Lukas hatte seit Tagen starke Bauchschmerzen und ist heute endlich zum Arzt gegangen. Nun erzählt er seiner Schwester Charlotte, dass er morgen eine Blinddarm-Operation haben wird. Lukas: Kaum zu glauben, all die Bauchschmerzen nur wegen dieser Blinddarmentzündung. Charlotte: Ja, das ist blöd. Wo Rauch ist, ist auch Feuer. Lukas: Ja, leider.;Warum sagt Charlotte: Wo Rauch ist, ist auch Feuer?;Weil Charlotte denkt, dass wahrnehmbare Probleme auch immer eine Ursache haben.;Weil Charlotte denkt, dass nicht alle Probleme eine bestimmte Ursache haben.;Weil Charlotte denkt, dass Rauch immer durch einen Brand entsteht.;Weil Charlotte denkt, dass Brände immer dazu führen, dass es raucht.;Weil Charlotte denkt, dass Krankenhäuser mit Öfen beheizt werden.;Weil Charlotte denkt, dass sie nächstes Wochenende in Urlaub fahren wird.;
23;Qualität geht über Quantität;Gerade als sich Markus für ein Paar Stiefel entscheiden wollte, sieht er welche, die nur halb so viel Geld kosten und kauft sich diese Stiefel gleich   zwei Mal. Markus sagt am nächsten Tag zu Lukas: Sieh nur, die Sohle löst sich schon von meinen neuen Stiefeln. Lukas antwortet: Qualität geht eben über Quantität. Markus erwidert: Das scheint wohl zu stimmen.;Warum sagt Lukas: Qualität geht eben über Quantität?;Weil Lukas denkt, dass ein paar hochwertige Schuhe länger halten, als zwei Paar billige Schuhe.       ;Weil Lukas denkt, dass die billigen Schuhe gut verarbeitet sind und lange halten.;Weil Lukas denkt, dass Qualität und Quantität sich bewegen können.   ;Weil Lukas denkt, dass Quantitäten schnell laufen können.   ;Weil  Lukas denkt, dass Markus farblich passende Schnürsenkel für seine Stiefel benötigt.;Weil Lukas denkt, dass Markus neue Hosen braucht.;//Dyke: Dieses Sprichwort ist so abstrakt, dass es schwer ist gute, konkrete Antwortmöglichkeiten zu erstellen.   
24;Viele Wege führen nach Rom;Hannah und Linda machen zusammen ihre Mathe-Hausaufgaben. Hannah hat die letzte Unterrichtsstunde in Mathematik verpasst und löst die Hausaufgabe daher anders als Linda. Hannah sagt zu Linda: Sieh nur, ich habe einen ganz anderen Lösungsweg als du, aber dieselbe Lösung. Linda sagt daraufhin: Viele Wege führen nach Rom. Hannah erwidert: Das stimmt.;Warum sagt Linda: Viele Wege führen nach Rom?;Weil Linda glaubt, dass verschiedene Rechnungen zum richtigen Ergebnis führen können.;Weil Linda glaubt, dass man das richtige Ergebnis nur auf eine Art berechnen kann.;Weil Linda glaubt, dass Hannah auf unterschiedlichen Wegen die italienische   Hauptstadt erreichen kann.;Weil Linda glaubt, dass man auf kleinen Straßen auch sein Ziel erreicht.   ;Weil Linda glaubt, dass Mathematik eine Wissenschaft ist.   ;Weil Linda glaubt, dass dieser Sommer besonders schön wird.  ;
25;Wo ein Wille ist, ist auch ein Weg;(1) Marc spricht mit seinem Freund Björn über ihren wöchentlichen Tanzkurs. Marc war nach dem Treffen der letzten Woche unzufrieden mit seiner Leistung im Kurs. (2) Marc fragt Björn: Denkst du, ich werde jemals ein guter Tänzer? (3) Björn antwortet: Wo ein Wille ist, ist auch ein Weg. (4) Marc daraufhin: Das stimmt wohl.;Warum sagt Björn „Wo ein Wille ist, ist auch ein Weg“?;Weil Björn glaubt, dass Marcs Streben nach Erfolg bestimmen wird, ob er ein guter Tänzer wird.;Weil Björn glaubt, dass Marc das Talent fehlt, um Erfolg beim Tanzen zu haben.;Weil Björn glaubt, dass Marc selbst keinen Pfad anlegen muss, sondern nur die Absicht dazu äußern muss.;Weil Björn glaubt, dass an allen Orten wo Marc sich etwas wünscht, automatisch ein Pfad entsteht.;Weil Björn glaubt, das Marc am liebsten zu Hip Hop tanzt.;Weil Björn glaubt, dass Marc am Wochenende singen sollte.;Metaphernarmes Sprichwort! A1 und A3 prinzipiell beide korrekt wählbar im Sinne der Aufgabenstellung.
26;Rom wurde nicht an einem Tag erbaut;(1) Luisa spricht mit ihrer Mutter Birgit über Schulnoten. Luisa lernt seit Kurzem sehr viel um ihre schlechten Noten aufzubessern und hat heute eine mittelmäßige Note erhalten. (2) Luisa fragt ihre Mutter Birgit: Wird meine Anstrengung auch irgendwann einmal mit einer guten Note belohnt werden? (3) Birgit antwortet: Rom wurde auch nicht an einem Tag erbaut. (4) Luisa erwidert: Das ist wohl wahr.;Warum sagt Birgit “Rom wurde nicht an einem Tag erbaut“?;Weil Birgit denkt, dass Luisa eine gute Note erhalten wird, solange sie weiterhin viel lernt.;Weil Birgit denkt, dass Luisa auch in Zukunft keine gute Note erhalten wird.;Weil Birgit denkt, dass es länger als einen Tag gedauert hat um die italienische Hauptstadt zu errichten.;Weil Birgit denkt, dass Luisa weiter an ihrem Modell der italienischen Hauptstadt bauen soll.;Weil Birgit denkt, dass die Schule ein schöner Ort ist.;Weil Birgit denkt, dass Venedig viele Brücken hat.;
27;Besser spät als nie;(1) Franz unterhält sich mit seinem Mitbewohner Tobias über das Fußballspiel des vergangen Abends. Das Spiel blieb lange ereignislos, bis in der letzten Spielminute ein Tor gefallen war. (2) Franz sagt zu Tobias: Erst durch dieses Tor wurde das Spiel noch sehenswert. (3) Tobias entgegnet: Besser spät als nie.  (4) Franz antwortet: Da hast du Recht.;Warum sagt Franz „Besser spät als nie“?;Weil Franz denkt, dass es gut ist, dass das Tor die Partie noch aufgewertet hat, trotzdem es erst am Ende fiel.;Weil Franz denkt, dass das Fußballspiel langweilig war, trotz des Tores am Ende.;Weil Franz denkt, dass zeitlich verzögerte Ereignisse besser sind, als solche, die nie passieren.;Weil Franz denkt, dass man Fußballspiele auf die Nacht verschieben sollte, statt sie ausfallen zu lassen.;Weil Franz denkt, dass Fußballspieler zu selten trainieren.;Weil Franz denkt, dass sein Rasen gewässert werden sollte.;Metaphernarmes Sprichwort! A1 und A3 prinzipiell beide korrekt wählbar im Sinne der Aufgabenstellung.
28;Viele Hände zerreißen die Wände;(1) Paul und Richard haben gemeinsam eine Firma gegründet. Sie haben kürzlich eine hohe Anzahl an Mitarbeitern eingestellt, die jedoch auf sehr chaotische Weise zusammenarbeiten. (2) Paul sagt zu Richard: Die Firma erzielt trotz der neuen Mitarbeiter keine besseren Ergebnisse. (3) Richard antwortet: Tja, viele Hände zerreißen die Wände. (4) Paul daraufhin: Natürlich, das ist wahr.;Warum sagt Richard: „Viele Hände zerreißen die Wände“?;Weil Richard denkt, dass oft schlechte Resultate entstehen, wenn sich zahlreiche Angestellte an dem gleichen Projekt versuchen.;Weil Richard denkt, dass sich noch mehr Angestellte mit den Projekten des Unternehmens befassen sollen.;Weil Richard denkt, dass Fäuste häufig Mauern zerstören.;Weil Richard denkt, dass Häuser leicht zerstört werden können.;Weil Richard denkt, dass die Angestellten alle gut frisiert sind.;Weil Richard denkt, dass Aktien an der Börse gehandelt werden.;
29;lorem impsum TARGET;lorem ipsum KONTEXT;lorem ipsum FRAGE;lorem ipsum A1;lorem ipsum A2;lorem ipsum A3;lorem ipsum A4;lorem ipsum A5;lorem ipsum A6;
30;lorem impsum TARGET;lorem ipsum KONTEXT;lorem ipsum FRAGE;lorem ipsum A1;lorem ipsum A2;lorem ipsum A3;lorem ipsum A4;lorem ipsum A5;lorem ipsum A6;
31;lorem impsum TARGET;lorem ipsum KONTEXT;lorem ipsum FRAGE;lorem ipsum A1;lorem ipsum A2;lorem ipsum A3;lorem ipsum A4;lorem ipsum A5;lorem ipsum A6;
32;lorem impsum TARGET;lorem ipsum KONTEXT;lorem ipsum FRAGE;lorem ipsum A1;lorem ipsum A2;lorem ipsum A3;lorem ipsum A4;lorem ipsum A5;lorem ipsum A6;
33;lorem impsum TARGET;lorem ipsum KONTEXT;lorem ipsum FRAGE;lorem ipsum A1;lorem ipsum A2;lorem ipsum A3;lorem ipsum A4;lorem ipsum A5;lorem ipsum A6;
34;lorem impsum TARGET;lorem ipsum KONTEXT;lorem ipsum FRAGE;lorem ipsum A1;lorem ipsum A2;lorem ipsum A3;lorem ipsum A4;lorem ipsum A5;lorem ipsum A6;
35;lorem impsum TARGET;lorem ipsum KONTEXT;lorem ipsum FRAGE;lorem ipsum A1;lorem ipsum A2;lorem ipsum A3;lorem ipsum A4;lorem ipsum A5;lorem ipsum A6;
36;lorem impsum TARGET;lorem ipsum KONTEXT;lorem ipsum FRAGE;lorem ipsum A1;lorem ipsum A2;lorem ipsum A3;lorem ipsum A4;lorem ipsum A5;lorem ipsum A6;
