Butter;Hanuta;Joghurt;Mineralwasser;Wurst
BeetlesCD;Orangen;Salz;Oregano;;;;;
Kondome;Tequila;BeetlesCD;Orangen;Melonen;Gewürzgurke;Pfefferminz;;
Orangen;Kürbis;Gewürzgurke;Chili;;;;;
Tequila;Zwiebeln;Mandarinen;Gewürzgurke;Zimt;;;;
Falafel;Möhren;Zitronen;Zimt;;;;;
Tequila;Orangen;Bananen;Salz;Pfeffer;;;;
ArienderWeltCD;Äpfel;Orangen;Oregano;Pfefferminz;;;;
Tortellini;Schweinebauch;Äpfel;Orangen;Bananen;Kürbis;Pfefferminz;;
Schweinebauch;Mandarinen;Salz;Gewürzgurke;Zimt;Pfefferminz;;;
Fischstäbchen;Zitronen;Orangen;Oregano;Chili;;;;
Tequila;Zitronen;Zimt;;;;;;
Tequila;Äpfel;Orangen;Bananen;Chili;;;;
Schweinebauch;Melonen;Chili;;;;;;
Schweinebauch;Melonen;Zimt;;;;;;
Kondome;Äpfel;Salz;Pfefferminz;;;;;
ArienderWeltCD;Zitronen;Pfeffer;;;;;;
Golfschläger;Tomaten;Tequila;Äpfel;Orangen;Bananen;Salz;Chili;
Tomaten;Zwiebeln;Äpfel;Pfeffer;Zimt;Pfefferminz;;;
Schweinebauch;Melonen;Chili;;;;;;
Tortellini;Mandarinen;Salz;Oregano;;;;;
Rumpsteak;Melone;Aspirin;Riesengarnelen;;;;;
Champagner;Eier;Melone;Viagra;Lachs;Riesengarnelen;Kaminholz;;
Rotwein;Ananas;Premiere;Aspirin;Lachs;Riesengarnelen;Kuschelrock;;
Sahne;Eier;Premiere;Cognac;;;;;
Milch;Korkenzieher;Lachs;Riesengarnelen;;;;;
Rotwein;Eier;Premiere;Riesengarnelen;Kuschelrock;;;;
Champagner;Rumpsteak;Melone;Viagra;Kuschelrock;;;;
Champagner;Milch;Korkenzieher;Lachs;Riesengarnelen;;;;
Milch;Premiere;Riesengarnelen;Cognac;Duftspray;Kuschelrock;;;
Rotwein;Rumpsteak;Sahne;Aspirin;Duftspray;Kuschelrock;;;
Sahne;Melone;Ananas;Aspirin;Kaminholz;;;;
Sahne;Korkenzieher;Premiere;Aspirin;Lachs;;;;
Rotwein;Rumpsteak;Ananas;Korkenzieher;Aspirin;Riesengarnelen;Cognac;;
Sahne;Melone;Viagra;Cognac;Kuschelrock;;;;
Milch;Melone;Viagra;Cognac;Kuschelrock;;;;
Camembert;Rotwein;Ananas;Aspirin;Cognac;Kaminholz;;;
Camembert;Sahne;Ananas;Lachs;Riesengarnelen;Duftspray;;;
Champagner;Rotwein;Melone;Premiere;Duftspray;;;;
Champagner;Eier;Ananas;Aspirin;Riesengarnelen;;;;
Rumpsteak;Sahne;Aspirin;Viagra;Kuschelrock;;;;
Sahne;Ananas;Premiere;Lachs;Kaminholz;;;;
Milch;Melone;Korkenzieher;Riesengarnelen;;;;;
Rotwein;Eier;Korkenzieher;Premiere;Lachs;Duftspray;Kaminholz;;
Camembert;Eier;Korkenzieher;Lachs;Riesengarnelen;;;;
Camembert;Melone;Lachs;Cognac;;;;;
Milch;Premiere;Duftspray;Kuschelrock;;;;;
Champagner;Eier;Aspirin;Viagra;Riesengarnelen;Cognac;;;
Joghurt;Milchreis;Quark;Butter;Toffifee;Schokolade;Zucker;Mehl;
Pentium_III_500MHz;AsusP3BX_LS;Festplatte_18GB;Eizo_L66;DVD-ROM;RAM_256MB;;;
Zahnpasta;Kondome;Binden;Fleckenentferner;Soundboxen;Entkalker;Axe-Voodoo;Rasierschaum;
Omar;Lachs;Kaviar;Spagetti;Butter;;;;
Chips;Flips;Chipsletten;Erdnüsse;TUC;Bierkasten;Videos;HiFi-Videorekorder;
Mantel;Jacke;Hut;Butter;;;;;
Schokolade;Zahnpasta;Apfelsine;Kiwi;Pudding;Wurst;Eis;;
Käse;Bier;Schokolade;Brötchen;;;;;
Cola;Wein;Wurst;Gummibärchen;Aubergine;Milch;;;
Pilze;Amaretto;Gurke;Pudding;Hundefutter;Strümpfe;;;
Vogelfutter;Cola;Eier;Keks;Bier;Wurst;Tomaten;Joghurt;Sekt
Kakao;Milch;Sauerkraut;Birnen;Zucker;Oregano;;;
Seife;Bonbons;Joghurt;Pudding;Nudeln;Spinat;Salz;Wurst;Milch
